go_id	go_term_name	go_namespace	ontology
GO:0007129	homologous chromosome pairing at meiosis	biological_process	BP
GO:0007130	synaptonemal complex assembly	biological_process	BP
GO:0007131	reciprocal meiotic recombination	biological_process	BP
GO:0007140	male meiotic nuclear division	biological_process	BP
GO:0007142	male meiosis II	biological_process	BP
GO:0007143	female meiotic nuclear division	biological_process	BP
GO:0007154	cell communication	biological_process	BP
GO:0007155	cell adhesion	biological_process	BP
GO:0007165	signal transduction	biological_process	BP
GO:0007166	cell surface receptor signaling pathway	biological_process	BP
GO:0007186	G protein-coupled receptor signaling pathway	biological_process	BP
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	biological_process	BP
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	biological_process	BP
GO:0007219	Notch signaling pathway	biological_process	BP
GO:0007264	small GTPase-mediated signal transduction	biological_process	BP
GO:0007266	Rho protein signal transduction	biological_process	BP
GO:0007275	multicellular organism development	biological_process	BP
GO:0007283	spermatogenesis	biological_process	BP
GO:0007292	female gamete generation	biological_process	BP
GO:0007389	pattern specification process	biological_process	BP
GO:0007623	circadian rhythm	biological_process	BP
GO:0008033	tRNA processing	biological_process	BP
GO:0008104	protein localization	biological_process	BP
GO:0008202	steroid metabolic process	biological_process	BP
GO:0008203	cholesterol metabolic process	biological_process	BP
GO:0008283	cell population proliferation	biological_process	BP
GO:0008285	negative regulation of cell population proliferation	biological_process	BP
GO:0008295	spermidine biosynthetic process	biological_process	BP
GO:0008299	isoprenoid biosynthetic process	biological_process	BP
GO:0008356	asymmetric cell division	biological_process	BP
GO:0008360	regulation of cell shape	biological_process	BP
GO:0008361	regulation of cell size	biological_process	BP
GO:0008380	RNA splicing	biological_process	BP
GO:0008535	respiratory chain complex IV assembly	biological_process	BP
GO:0008608	attachment of spindle microtubules to kinetochore	biological_process	BP
GO:0008610	lipid biosynthetic process	biological_process	BP
GO:0008643	carbohydrate transport	biological_process	BP
GO:0008645	hexose transmembrane transport	biological_process	BP
GO:0008652	amino acid biosynthetic process	biological_process	BP
GO:0008654	phospholipid biosynthetic process	biological_process	BP
GO:0009058	biosynthetic process	biological_process	BP
GO:0009060	aerobic respiration	biological_process	BP
GO:0009062	fatty acid catabolic process	biological_process	BP
GO:0009063	amino acid catabolic process	biological_process	BP
GO:0009064	glutamine family amino acid metabolic process	biological_process	BP
GO:0009067	aspartate family amino acid biosynthetic process	biological_process	BP
GO:0009069	serine family amino acid metabolic process	biological_process	BP
GO:0009072	aromatic amino acid metabolic process	biological_process	BP
GO:0009073	aromatic amino acid family biosynthetic process	biological_process	BP
GO:0009081	branched-chain amino acid metabolic process	biological_process	BP
GO:0009082	branched-chain amino acid biosynthetic process	biological_process	BP
GO:0009083	branched-chain amino acid catabolic process	biological_process	BP
GO:0009084	glutamine family amino acid biosynthetic process	biological_process	BP
GO:0009085	lysine biosynthetic process	biological_process	BP
GO:0009086	methionine biosynthetic process	biological_process	BP
GO:0009088	threonine biosynthetic process	biological_process	BP
GO:0009089	lysine biosynthetic process via diaminopimelate	biological_process	BP
GO:0009094	L-phenylalanine biosynthetic process	biological_process	BP
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway	biological_process	BP
GO:0009097	isoleucine biosynthetic process	biological_process	BP
GO:0009098	L-leucine biosynthetic process	biological_process	BP
GO:0009099	L-valine biosynthetic process	biological_process	BP
GO:0009100	glycoprotein metabolic process	biological_process	BP
GO:0009102	biotin biosynthetic process	biological_process	BP
GO:0009107	lipoate biosynthetic process	biological_process	BP
GO:0009113	purine nucleobase biosynthetic process	biological_process	BP
GO:0009116	nucleoside metabolic process	biological_process	BP
GO:0009117	nucleotide metabolic process	biological_process	BP
GO:0009123	nucleoside monophosphate metabolic process	biological_process	BP
GO:0009143	nucleoside triphosphate catabolic process	biological_process	BP
GO:0009152	purine ribonucleotide biosynthetic process	biological_process	BP
GO:0009156	ribonucleoside monophosphate biosynthetic process	biological_process	BP
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	biological_process	BP
