KO	pathway
K02707	ko00195
K02708	ko00195
K02709	ko00195
K02710	ko00195
K02711	ko00195
K02712	ko00195
K02713	ko00195
K02714	ko00195
K02716	ko00195
K02717	ko00195
K02718	ko00195
K02719	ko00195
K02720	ko00195
K02721	ko00195
K02722	ko00195
K02723	ko00195
K02724	ko00195
K03541	ko00195
K03542	ko00195
K03689	ko00195
K08901	ko00195
K08902	ko00195
K08903	ko00195
K08904	ko00195
K08905	ko00195
K08906	ko00195
K14332	ko00195
K02092	ko00196
K02093	ko00196
K02094	ko00196
K02095	ko00196
K02096	ko00196
K02097	ko00196
K02284	ko00196
K02285	ko00196
K02286	ko00196
K02287	ko00196
K02288	ko00196
K02289	ko00196
K02290	ko00196
K02628	ko00196
K02629	ko00196
K02630	ko00196
K02631	ko00196
K02632	ko00196
K05376	ko00196
K05377	ko00196
K05378	ko00196
K05379	ko00196
K05380	ko00196
K05381	ko00196
K05382	ko00196
K05383	ko00196
K05384	ko00196
K05385	ko00196
K05386	ko00196
K08907	ko00196
K08908	ko00196
K08909	ko00196
K08910	ko00196
K08911	ko00196
K08912	ko00196
K08913	ko00196
K08914	ko00196
K08915	ko00196
K08916	ko00196
K08917	ko00196
K14172	ko00196
K20713	ko00196
K00145	ko00220
K00260	ko00220
K00261	ko00220
K00262	ko00220
K00491	ko00220
K00611	ko00220
K00618	ko00220
K00619	ko00220
K00620	ko00220
K00811	ko00220
K00812	ko00220
K00813	ko00220
K00814	ko00220
K00818	ko00220
K00821	ko00220
K00926	ko00220
K00930	ko00220
K01425	ko00220
K01427	ko00220
K01428	ko00220
K01429	ko00220
K01430	ko00220
K01438	ko00220
K01457	ko00220
K01476	ko00220
K01478	ko00220
K01755	ko00220
K01915	ko00220
K01940	ko00220
K01941	ko00220
K01948	ko00220
K01954	ko00220
K01955	ko00220
K01956	ko00220
K05597	ko00220
K05828	ko00220
K05829	ko00220
K05830	ko00220
K05831	ko00220
K09065	ko00220
K11067	ko00220
